"Timestamp","Do you wish to participate in this questionnaire? ","Please select your age category ","Please select your gender","Please select your province of residence","Please select the type of your educational institute ","How do you cover your expenses? ","Do you regularly participate in extracurricular activities? ","Where is your educational institute located? ","How much are you familiar with e-learning platforms? ","How much are you capable of resolving technical issues faced during e-learning? ","Do you face any issue in a situation like this? ","Which of the following issues do you experience in a situation like this? ","Do you prefer e-learning over in class learning? ","What do you like about e-learning platforms? ","What do you not like about e-learning platforms? ","Do you think educational institutes will continue using e-learning platforms even after the pandemic? If yes, why could it be? ","Do you usually take notes during an online lecture ","Do you use e-learning platforms to seek knowledge beyond your undergraduate studies? ","Do you access e-learning platforms on a daily basis if there are no online lectures scheduled? (Select "
"2021/10/24 6:04:12 pm GMT+5:30","Yes","Between 21 and 25","Female","Southern Province","Government Institute","Provided by family","Yes","In a different province","I learned through e-learning platforms for the first time during undergraduate studies, but I knew about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","No","Not Applicable","It's not a concern","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.;I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me);I can manage resources and materials better with the platform","I have to struggle with connectivity issues;Online lectures are less interactive. It makes me bored.","Because the institute can manage resources better with e-learning;Because it’s easier for lecturers to conduct online lectures","No, but I was used to take notes in in-class lectures","No","No"
"2021/10/24 6:06:52 pm GMT+5:30","Yes","Over 25","Male","Southern Province","Government Institute","Provided by family","Yes","In a different province","I have learned through e-learning platforms even before undergraduate studies","I can resolve any technical issue if it’s from my side","No","I get panicked as I am not prepared","Yes","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.;I can manage resources and materials better with the platform","Online lectures are less interactive. It makes me bored.","Because the institute can manage resources better with e-learning;Because it’s easier for lecturers to conduct online lectures","No, I didn’t even take notes in in-class lectures","No","No"
"2021/10/24 6:08:59 pm GMT+5:30","Yes","Between 21 and 25","Male","Southern Province","Private Institute (In Sri Lanka)","I have a part-time/full-time job (I have a source of income);Provided by family","Yes","In my own province","I learned through e-learning platforms for the first time during undergraduate studies, but I knew about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","No","Not Applicable","It's not a concern","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.","I have to struggle with connectivity issues;Online lectures are less interactive. It makes me bored.","Because it’s easier for lecturers to conduct online lectures","Maybe","Yes","No"
"2021/10/24 9:36:50 pm GMT+5:30","Yes","Over 25","Female","Southern Province","Government Institute","Educational expenses fully/partially covered by a scholarship","No","In my own province","I learned through e-learning platforms for the first time during undergraduate studies and I didn’t know about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","Yes","I am not comfortable unmuting me or turning on my video;I get panicked as I am not prepared","No","I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me);I can ask questions through messages instead of speaking","I have to struggle with connectivity issues;It’s hard to deal with technological issues;I don’t have a fairly good device to attend lectures;I don’t have a study friendly environment at my home","I don’t think it will be continued","No, but I was used to take notes in in-class lectures","No","No"
"2021/10/24 9:38:43 pm GMT+5:30","Yes","Between 21 and 25","Male","Southern Province","Foreign Institute","Provided by family","Yes","In a different country","I have learned through e-learning platforms even before undergraduate studies","I can resolve any technical issue if it’s from my side","No","Not Applicable","Yes","I can save money spent for travelling, boarding fee, etc.;I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me);I can manage resources and materials better with the platform;It’s user friendly and easier to use","Online lectures are less interactive. It makes me bored.","Because the institute can manage resources better with e-learning;Because it’s easier for lecturers to conduct online lectures","Maybe","Yes","No"
"2021/10/24 9:51:22 pm GMT+5:30","Yes","Between 21 and 25","Male","Southern Province","Private Institute (In Sri Lanka)","I have a part-time/full-time job (I have a source of income)","No","In my own province","I learned through e-learning platforms for the first time during undergraduate studies and I didn’t know about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","No","Not Applicable","Yes","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.;I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me);I can manage resources and materials better with the platform","I have to struggle with connectivity issues;I don’t have a study friendly environment at my home","I don’t think it will be continued","No, I didn’t even take notes in in-class lectures","Yes","Yes"
"2021/10/24 10:31:50 pm GMT+5:30","Yes","Between 21 and 25","Male","Southern Province","Government Institute","I have a part-time/full-time job (I have a source of income);Provided by family;Educational expenses fully/partially covered by a scholarship","Yes","In a different province","I have learned through e-learning platforms even before undergraduate studies","I can resolve any technical issue if it’s from my side","No","Not Applicable","Yes","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.;I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me);I can manage resources and materials better with the platform;It’s user friendly and easier to use","Online lectures are less interactive. It makes me bored.","Because the institute can manage resources better with e-learning;Because it’s easier for lecturers to conduct online lectures","Maybe","Yes","No"
"2021/10/24 10:33:49 pm GMT+5:30","Yes","Over 25","Female","Southern Province","Government Institute","Provided by family","No","In a different province","I learned through e-learning platforms for the first time during undergraduate studies, but I knew about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","Yes","I am not comfortable unmuting me or turning on my video;I get panicked as I am not prepared","It's not a concern","I can save money spent for travelling, boarding fee, etc.;I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me)","I have to struggle with connectivity issues;It’s hard to deal with technological issues;I don’t have a study friendly environment at my home","Because the institute can manage resources better with e-learning;Because it’s easier for lecturers to conduct online lectures","No, but I was used to take notes in in-class lectures","No","No"
"2021/10/24 10:36:14 pm GMT+5:30","Yes","Between 21 and 25","Female","Southern Province","Private Institute (In Sri Lanka)","Provided by family","Yes","In a different province","I learned through e-learning platforms for the first time during undergraduate studies, but I knew about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","No","Not Applicable","Yes","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.;I can ask questions through messages instead of speaking;I can manage resources and materials better with the platform","I have to struggle with connectivity issues;Online lectures are less interactive. It makes me bored.","Because the institute can manage resources better with e-learning","Yes","Yes","No"
"2021/10/24 10:39:21 pm GMT+5:30","Yes","Over 25","Male","Southern Province","Government Institute","I have a part-time/full-time job (I have a source of income);Educational expenses fully/partially covered by a scholarship","Yes","In a different province","I learned through e-learning platforms for the first time during undergraduate studies, but I knew about e-learning platforms before that","I can resolve common technical issues, if it’s not something usual I seek assistance","No","Not Applicable","Yes","I can attend lectures from home;I can save money spent for travelling, boarding fee, etc.;I can refer the lecture sessions later, if lecturers allow me to record (or if the lecture sessions are recorded for me);I can manage resources and materials better with the platform","Online lectures are less interactive. It makes me bored.","Because the institute can manage resources better with e-learning;Because it’s easier for lecturers to conduct online lectures","No, but I was used to take notes in in-class lectures","No","No"
